WBS #,Name / Title,Type,Start Date,End Date,Estimated Hours,Actual Hours,Percent Complete,Resources,Predecessors,Notes,Comments,Task Color
1,Network Traffic Analysis and Real-Time Alerting Tool with ELK Integration,project,5/12/2025,8/22/2025,0,0,91.88,,,,,
1.1,Sprint 1,group,5/12/2025,5/25/2025,0,0,100,,,,,
1.1.1,Research possible topics,task,5/12/2025,5/19/2025,0,0,100,Sushan Maharjan,,,,blue2
1.1.2,Draft proposal,task,5/19/2025,5/23/2025,0,0,100,Sushan Maharjan,,,,blue2
1.1.3,Supervisor meeting,task,5/19/2025,5/19/2025,0,0,100,Sushan Maharjan,,,,blue2
1.1.4,Proposal ready for submission,milestone,5/25/2025,5/25/2025,0,0,100,Sushan Maharjan,,,,blue2
1.2,Sprint 2,group,5/26/2025,6/9/2025,0,0,100,,,,,
1.2.1,Attend Workshop 3 (Tools),task,5/26/2025,5/26/2025,0,0,100,Sushan Maharjan,,,,blue2
1.2.2,"Setup Trello, GitHub, Kanban",task,5/26/2025,5/30/2025,0,0,100,Sushan Maharjan,,,,blue2
1.2.3,Start preliminary literature review,task,5/26/2025,6/9/2025,0,0,100,Sushan Maharjan,,,,blue2
1.2.4,Supervisor review,task,5/26/2025,6/9/2025,0,0,100,Sushan Maharjan,,,,blue2
1.2.5,Project plan + initial sources,milestone,6/9/2025,6/9/2025,0,0,100,Sushan Maharjan,,,,blue2
1.3,Sprint 3,group,6/9/2025,6/23/2025,0,0,100,,,,,
1.3.1,Continue literature review,task,6/9/2025,6/23/2025,0,0,100,Sushan Maharjan,,,,blue2
1.3.2,Attend Workshop 4 (Literature Review),task,6/9/2025,6/9/2025,0,0,100,Sushan Maharjan,,,,blue2
1.3.3,Draft Midpoint Review,task,6/9/2025,6/20/2025,0,0,100,Sushan Maharjan,,,,blue2
1.3.4,Supervisor feedback,task,6/9/2025,6/20/2025,0,0,100,Sushan Maharjan,,,,blue2
1.3.5,Midpoint Review draft,milestone,6/23/2025,6/23/2025,0,0,100,Sushan Maharjan,,,,blue2
1.4,Sprint 4,group,6/23/2025,7/6/2025,0,0,100,,,,,
1.4.1,Submit Midpoint Review (25 Jun),task,6/23/2025,6/23/2025,0,0,100,Sushan Maharjan,,,,blue2
1.4.2,Attend Workshop 5 (Methodology),task,6/23/2025,6/23/2025,0,0,100,Sushan Maharjan,,,,blue2
1.4.3,Define methodology for artefact,task,6/23/2025,6/27/2025,0,0,100,Sushan Maharjan,,,,blue2
1.4.4,Begin artefact development,task,6/23/2025,7/4/2025,0,0,100,Sushan Maharjan,,,,blue2
1.4.5,Methodology defined,milestone,7/6/2025,7/6/2025,0,0,100,Sushan Maharjan,,,,blue2
1.5,Sprint 5,group,7/6/2025,7/20/2025,0,0,100,,,,,
1.5.1,Continue development,task,7/6/2025,7/20/2025,0,0,100,Sushan Maharjan,,,,blue2
1.5.2,Start drafting report sections,task,7/6/2025,7/20/2025,0,0,100,Sushan Maharjan,,,,blue2
1.5.3,Weekly supervisor reviews,task,7/6/2025,7/6/2025,0,0,100,Sushan Maharjan,,,,blue2
1.5.4,Artefact working prototype,milestone,7/20/2025,7/20/2025,0,0,100,Sushan Maharjan,,,,blue2
1.6,Sprint 6,group,7/21/2025,8/3/2025,0,0,100,,,,,
1.6.1,Finalise development,task,7/21/2025,7/25/2025,0,0,100,Sushan Maharjan,,,,blue2
1.6.2,Write final report draft,task,7/21/2025,8/1/2025,0,0,100,Sushan Maharjan,,,,blue2
1.6.3,Supervisor feedback loop,task,7/21/2025,8/2/2025,0,0,100,Sushan Maharjan,,,,blue2
1.6.4,Complete draft report,milestone,8/3/2025,8/3/2025,0,0,100,Sushan Maharjan,,,,blue2
1.7,Sprint 7,group,8/4/2025,8/22/2025,0,0,67.24,,,,,
1.7.1,Submit Final Report,task,8/4/2025,8/22/2025,0,0,100,Sushan Maharjan,,,,blue2
1.7.2,Prepare viva slides & rehearse,task,8/4/2025,8/22/2025,0,0,50,Sushan Maharjan,,,,blue2
1.7.3,Viva Presentation (Week 15),task,8/4/2025,8/22/2025,0,0,50,Sushan Maharjan,,,,blue2
1.7.4,Final project delivery,milestone,8/22/2025,8/22/2025,0,0,100,Sushan Maharjan,,,,blue2
